date,shares,ideology
"June 12, 2016",130,red
"June 12, 2016",119,red
"June 12, 2016",86,grey
"June 12, 2016",76,red
"June 12, 2016",68,blue
"June 12, 2016",66,blue
"June 12, 2016",63,purple
"June 12, 2016",56,red
"June 12, 2016",55,red
"June 13, 2016",68,grey
"June 13, 2016",59,blue
"June 13, 2016",57,red
"June 13, 2016",53,blue
"June 13, 2016",53,blue
"June 13, 2016",44,red
"June 13, 2016",29,purple
"June 13, 2016",28,blue
"June 14, 2016",65,grey
"June 14, 2016",31,red
"June 14, 2016",24,blue
"June 14, 2016",24,red
"June 14, 2016",22,blue
"June 14, 2016",17,blue
"June 14, 2016",17,blue
"June 14, 2016",16,purple
"June 14, 2016",16,purple
"June 14, 2016",13,red
"June 15, 2016",103,grey
"June 15, 2016",98,blue
"June 15, 2016",75,blue
"June 15, 2016",75,blue
"June 15, 2016",59,blue
"June 15, 2016",42,blue
"June 15, 2016",35,blue
"June 15, 2016",29,purple
"June 15, 2016",23,purple
"June 15, 2016",22,blue
"June 16, 2016",77,grey
"June 16, 2016",57,purple
"June 16, 2016",33,red
"June 16, 2016",28,grey
"June 16, 2016",21,blue
"June 16, 2016",20,blue
"June 16, 2016",20,red
"June 16, 2016",20,blue
"June 16, 2016",17,red
"June 16, 2016",18,blue
"June 17, 2016",97,blue
"June 17, 2016",78,grey
"June 17, 2016",36,red
"June 17, 2016",35,red
"June 17, 2016",21,grey
"June 17, 2016",20,red
"June 17, 2016",18,blue
"June 17, 2016",16,purple
"June 17, 2016",14,blue
"June 17, 2016",14,red
"June 18, 2016",61,grey
"June 18, 2016",41,purple
"June 18, 2016",21,blue
"June 18, 2016",20,purple
"June 18, 2016",19,blue
"June 18, 2016",18,red
"June 18, 2016",17,blue
"June 18, 2016",15,red
"June 18, 2016",12,red
"June 18, 2016",11,red
"June 19, 2016",87,red
"June 19, 2016",44,grey
"June 19, 2016",17,red
"June 19, 2016",16,red
"June 19, 2016",15,purple
"June 19, 2016",13,red
"June 19, 2016",12,blue
"June 19, 2016",10,purple
"June 19, 2016",9,blue
"June 19, 2016",8,red
"June 20, 2016",41,grey
"June 20, 2016",33,purple
"June 20, 2016",17,red
"June 20, 2016",14,purple
"June 20, 2016",12,red
"June 20, 2016",12,red
"June 20, 2016",12,blue
"June 20, 2016",11,blue
"June 20, 2016",11,blue
"June 20, 2016",10,red
"June 21, 2016",68,red
"June 21, 2016",48,purple
"June 21, 2016",23,grey
"June 21, 2016",23,blue
"June 21, 2016",20,blue
"June 21, 2016",13,blue
"June 21, 2016",12,purple
"June 21, 2016",11,blue
"June 21, 2016",11,red
"June 21, 2016",9,purple
"June 22, 2016",74,red
"June 22, 2016",34,red
"June 22, 2016",21,purple
"June 22, 2016",18,grey
"June 22, 2016",18,red
"June 22, 2016",9,red
"June 22, 2016",8,red
"June 22, 2016",8,red
"June 22, 2016",7,purple
"June 23, 2016",42,red
"June 23, 2016",23,red
"June 23, 2016",19,blue
"June 23, 2016",16,red
"June 23, 2016",12,grey
"June 23, 2016",12,red
"June 23, 2016",11,blue
"June 23, 2016",7,red
"June 23, 2016",6,red
"June 24, 2016",36,red
"June 24, 2016",9,grey
"June 24, 2016",6,blue
"June 24, 2016",4,purple
"June 25, 2016",7,grey
"June 25, 2016",7,red
"June 25, 2016",5,blue
"June 25, 2016",5,red
"June 26, 2016",20,red
"June 26, 2016",8,blue
"June 26, 2016",6,grey
"June 27, 2016",46,red
"June 27, 2016",8,grey
"June 28, 2016",23,red
"June 28, 2016",21,red
"June 28, 2016",9,purple
"June 28, 2016",9,purple
"June 28, 2016",7,red
"June 28, 2016",7,red
"June 28, 2016",6,grey
"June 28, 2016",6,blue
"June 28, 2016",5,blue
"June 29, 2016",15,blue
"June 29, 2016",14,red
"June 29, 2016",14,red
"June 29, 2016",11,purple
"June 29, 2016",8,grey
"June 29, 2016",8,red
"June 29, 2016",8,blue
"June 29, 2016",7,blue
"June 29, 2016",6,red
"June 29, 2016",5,blue
